category,text
Counter-speech,Vera Level Nanbargaley..Proud of You Guys
None-of-the-above,Kindly lz read again your vedha... and try to Understand it.
None-of-the-above,Acting super bro.
None-of-the-above,Akash Balan keep it up bro my wishes to you dear
None-of-the-above,Oru humble request... Pandra help ah publicity pannadhinga.. Plz
Hope-Speech,This is very innovative prank i ever seen 👌huge  congrats to the owl team for such good thing . 👏👏👏Your video ill reach high we always support good things  and  usefull mesaage 🙏😍😍😍😍😍😍😍😍
Counter-speech,weirdo  why such a question ; Whatever gender being a good human is enough
None-of-the-above,Fables movie mind blowing
None-of-the-above,Wow super my dearest beautifully friends really I love you my sweet beautifully friends
None-of-the-above,k bro really great ; i support these people
None-of-the-above,Most don't accept Cox they focus on SEX AND FUCKING...; Enjoy making babies.. Make make...; Make until this whole world suffer..
None-of-the-above,"Kudos to the lady in orange saree ,the backpacker guy and guy in grey tee...they were the only ones giving sensible replies.. remaining wer jus crap"
None-of-the-above,Humans are the only species that hates love. Love comes in all formes
None-of-the-above,Really super duper bro......
None-of-the-above,Malini mam u r rite in this topic
None-of-the-above,What happened next  to his mum
None-of-the-above,How to connect u in messenger
Counter-speech,Frank is very good very nice 👌👌👌👍👍 super my in crime
None-of-the-above,Keep supporting Gay 🙂🙂 Happy Diwali to all my lovable friends😍😍😍;
None-of-the-above,"Typing in english is Western culture, YouTube is Western culture. Not advisable!!!!"
None-of-the-above,Heart touching video love u akka ♥️
None-of-the-above,Speak about osho
Counter-speech,Thirunangai great tha  bro  l really cried bro
None-of-the-above,My  number please call me
None-of-the-above,Luv u sooooooo much sister 😍😍😍😍😘😘😘💋💋💋awsm speech unga attitude super
None-of-the-above,"Fine if they are born such a way and not comfortable with formation of the culture out of copycat influences but acceptable if majority of society accepts the culture. I'm not against or support but accept it if the society accepts it just like how we accept many things in life including ruling government despite some voted while others not. We tolerate and live in harmony on basis of humanity. There are many do and don't according to the law of the nation and land and we follow it based on democratic concept and as a rational people shall tolerate things that even seems awkward to us. Do not discriminate the genuine victim, like they said, it's their life and they decide on what they want out of this life. Please make constructive comments and do not insult anyone. Respect is the basis of humanity."
None-of-the-above,hindi films should learn from south directors and producers
None-of-the-above,Akka neeing  super  character really  great  akka😊
None-of-the-above,It depends upon the environment and surrounding
None-of-the-above,Nice mve.... 5 times i watched
None-of-the-above,She's look's like a bit of srushti dange.. 😵😵😍😍
None-of-the-above,Y u came to this channel r u resigned ur job in gallata ahsiq
Hope-Speech,"Hi Katrina.... not all are like ignoring u guys ,me personally hav a care and hearfulness for u PPL .... tho I hv a empathy towards u all, there r two or three bad incidents I faced recently by Ur community PPL ,bt that was jus recently bfr I was only blessed and taken as frnds by most of u nd I used to feel so happy and so one of my wish is to support u guys in wtever ways I can .....it's so empowering to see u guys coming fwd like this,pls continue doing so...wish u guys all d very best and may d entire world see u PPL thru our eyes nd luv u nd cherish u too....God bless u all 🥰🥰"
None-of-the-above,Really heart touched performance 😍😍😍😍hats off you
None-of-the-above,Bold Interview !! Awesome Attitude! ♥
None-of-the-above,Loved it when he took off his specs at the end..
None-of-the-above,Don't use the word transgender to scold some one... use something else
None-of-the-above,Thanks for the open and bold talk. Super explanation
None-of-the-above,Y birds fly in v shape
None-of-the-above,First view first comment from srilanka 🇱🇰 🇱🇰
None-of-the-above,No words to say... Hats off to the director 💓
Homophobic,Most of them are rowdies and they behave very nasty which put down their development
Counter-speech,LGBT Communities of Chennai. ; ; There is more to the life stories of people from LGBT Communities. They live among us. Trying their best to carve out a life and identity for themselves in a society that is no so approving.; ; Read about their life stories. Inside Out. ; ; Exclusively:
None-of-the-above,She is very cute. The super.... model.. MEERA MITHUN should watch this.
Hope-Speech,Super concept Machan's.... waiting for Part 2...Keep rocking....
Hope-Speech,Love is Love 🌈;  love has no gender🌈; Lgbt+  is pride🔥
None-of-the-above,moorthi moorthi u  are right
Counter-speech,Bro heart touch pannitinga bro hats off 💯
None-of-the-above,What a such a girl ..........she is god ......
None-of-the-above,"Well conceived , well emoted  by all actors , crisp direction ,  some long shots with continuous dialogues well done which senior actors were able to do . The character Latif did that  as seasoned actors . Good work Director sir . Another big thanks to the producer who agreed to do this concept . It would take few years for parents to accept these relationships . The next part should be the travel of these partners in relationship facing various situations and how they overcome . Also adoption can be included to make them feel as a family too . Old age and loneliness is a major issue to tackle in these relationships which should be explored further ."
Hope-Speech,Video last public service super bro 👌🤗 god bless you your channel growth 💝💖
None-of-the-above,Culture and all other shit comes after nature understand it
None-of-the-above,True I agree
None-of-the-above,Anna Vera level pranks super....... Tirinangai is the best......... Boys girls Vida .......
None-of-the-above,All public should unit and must slap like anything.
None-of-the-above,Nice sis.. don't worry
None-of-the-above,Bro part 2 waiting bro ❤️👍👍
None-of-the-above,Kind hearted person...💜💓
Counter-speech,Muhammad Azeem.S.H  I'm an mbbs students ppl have researched on the basis of homosexuality and found that a certain locus in the x chromosome is responsible fr a person's homosexual tendencies which is expressed thru epigenetics. So there u go! The so called scientific proof u needed coz u can't mind ur own business.
None-of-the-above,That smile 😻
Hope-Speech,Super sister  good speech all the best god bless you 👍🙏🙏🙏🙏🙏
None-of-the-above,I am that too😌
None-of-the-above,Really very feel.....heart
None-of-the-above,INÂV  good morning and Dr frnd vanitha
None-of-the-above,Sanjiv a I very sure u are Hindu and how come u can be this narrow. Hindu one of the religion that never label anyone. Hindu never condemn lgbt! Any idea what happened to arjunan during his vanavasam? Shigandi? Lord aiyappan?
None-of-the-above,I support LGBT community. We should respect a persons own will.
Counter-speech,"The message u delivering is good but don't use her emotions for just a prank, after realizing its prank she may also hurt, playing with anybody emotions is not good bro"
